iter	RMSE
0	27.01937737
1	24.51598944
2	23.42911434
3	22.52733249
4	21.62986035
5	21.29180569
6	21.17049595
7	20.63948887
8	20.41412061
9	20.26896897
10	20.08855558
11	19.76185027
12	19.38160532
13	19.06634205
14	18.76952948
15	18.59154786
16	18.55753018
17	18.24814844
18	17.9786899
19	17.82206891
20	17.69035356
21	17.49466794
22	17.27810244
23	17.16031883
24	16.97790712
25	16.89575612
26	16.75587897
27	16.6211464
28	16.60143285
29	16.46314765
30	16.37815127
31	16.21015386
32	16.02826074
33	15.84890523
34	15.76455679
35	15.64918736
36	15.42837535
37	15.26227084
38	15.07470387
39	15.06747642
40	14.91788385
41	14.78616204
42	14.68231137
43	14.60001318
44	14.42792289
45	14.31910799
46	14.20122022
47	14.11265339
48	14.00344624
49	13.84052539
50	13.71254698
51	13.57414835
52	13.49614322
53	13.49105856
54	13.4202506
55	13.30216295
56	13.19491124
57	13.0682997
58	13.0114765
59	12.9641318
60	12.88148347
61	12.74898451
62	12.69451743
63	12.64089574
64	12.55825889
65	12.46790313
66	12.40104811
67	12.33974795
68	12.30051228
69	12.24500112
70	12.1448786
71	12.08860563
72	12.00679064
73	11.94348898
74	11.87926589
75	11.79843456
76	11.65529708
77	11.6433636
78	11.59725147
79	11.54537815
80	11.49797558
81	11.43285787
82	11.38878168
83	11.35454945
84	11.31169382
85	11.23427535
86	11.17362932
87	11.09178435
88	11.08488021
89	11.02374582
90	10.93414526
91	10.84536126
92	10.73407178
93	10.66600074
94	10.60699652
95	10.52386469
96	10.43864004
97	10.39237064
98	10.37693429
99	10.29341808
