iter	Passed	Remaining
0	56	5562
1	58	2869
2	60	1961
3	62	1505
4	65	1240
5	67	1059
6	69	928
7	72	828
8	74	750
9	76	686
10	78	633
11	80	591
12	82	554
13	85	522
14	87	494
15	89	469
16	91	447
17	93	427
18	96	409
19	98	392
20	100	377
21	102	363
22	104	350
23	106	338
24	109	328
25	112	319
26	114	309
27	116	299
28	118	290
29	121	282
30	123	274
31	125	267
32	127	259
33	130	252
34	132	245
35	134	238
36	136	232
37	138	226
38	141	221
39	143	215
40	146	210
41	148	205
42	150	199
43	153	194
44	155	189
45	157	185
46	160	180
47	162	176
48	164	171
49	166	166
50	169	162
51	171	158
52	174	154
53	176	150
54	178	146
55	180	142
56	183	138
57	185	134
58	187	130
59	189	126
60	191	122
61	194	118
62	196	115
63	198	111
64	200	108
65	202	104
66	204	100
67	206	97
68	209	94
69	211	90
70	214	87
71	216	84
72	218	80
73	220	77
74	223	74
75	225	71
76	227	68
77	230	64
78	232	61
79	234	58
80	236	55
81	239	52
82	241	49
83	243	46
84	245	43
85	249	40
86	251	37
87	253	34
88	255	31
89	257	28
90	260	25
91	262	22
92	264	19
93	267	17
94	269	14
95	271	11
96	273	8
97	276	5
98	278	2
99	280	0
